,0
Itching,0.016586485046296798
Skin Rash,0.0073853999283665876
Nodal Skin Eruptions,0.006671452112053033
Continuous Sneezing,0.006446439873930429
Shivering,0.006410709499751339
Chills,0.010100406967164908
Joint Pain,0.01712275156356171
Stomach Pain,0.012818147215571597
Acidity,0.006796681086533264
Ulcers On Tongue,0.0037256630077694675
Muscle Wasting,0.007820449315151379
Vomiting,0.013547729740882142
Burning Micturition,0.007406279884461182
Spotting Urination,0.006080805977287305
Fatigue,0.015049115164106007
Weight Gain,0.0018009104595438806
Anxiety,0.0026856633262034597
Cold Hands And Feets,0.002250487036398307
Mood Swings,0.003217706056630526
Weight Loss,0.009749589606960814
Restlessness,0.006453351736089071
Lethargy,0.0054882410084619295
Patches In Throat,0.00872898388181391
Irregular Sugar Level,0.002719601890261654
Cough,0.009505882530932746
High Fever,0.014086056925710742
Sunken Eyes,0.007554934495575831
Breathlessness,0.012693538274229808
Sweating,0.012227204590866837
Dehydration,0.007518478591839062
Indigestion,0.003828398510948699
Headache,0.012044949793713266
Yellowish Skin,0.007532919217219441
Dark Urine,0.017593039060126717
Nausea,0.011373451444269099
Loss Of Appetite,0.013563936124095823
Pain Behind The Eyes,0.008921275296221033
Back Pain,0.011802726560964203
Constipation,0.00433742311324274
Abdominal Pain,0.01149057885858581
Diarrhoea,0.012160964648466128
Mild Fever,0.013941666221467338
Yellow Urine,0.003108665000540878
Yellowing Of Eyes,0.011900333740633835
Acute Liver Failure,0.003689364927461975
Fluid Overload,0.0
Swelling Of Stomach,0.004434847765247019
Swelled Lymph Nodes,0.008617969460504148
Malaise,0.009445755517584902
Blurred And Distorted Vision,0.004467797816134689
Phlegm,0.005743667529314086
Throat Irritation,0.0032543135405910116
Redness Of Eyes,0.0036845237776314877
Sinus Pressure,0.0036923090966257594
Runny Nose,0.002887635899298492
Congestion,0.003288323240668523
Chest Pain,0.01526182916029557
Weakness In Limbs,0.0036208190419303745
Fast Heart Rate,0.0075183200626186995
Pain During Bowel Movements,0.007366121029219332
Pain In Anal Region,0.003799314255009515
Bloody Stool,0.004760329187189405
Irritation In Anus,0.007353645933096116
Neck Pain,0.009177639862717009
Dizziness,0.009400194777039305
Cramps,0.0048799486088346045
Bruising,0.003705603568582949
Obesity,0.0029476330322164928
Swollen Legs,0.004602575203099088
Swollen Blood Vessels,0.0015800101700796632
Puffy Face And Eyes,0.0010378307297444947
Enlarged Thyroid,0.004347442908500687
Brittle Nails,0.005296261217906767
Swollen Extremities,0.003096352662855442
Excessive Hunger,0.004987308216117668
Extra Marital Contacts,0.004034355842650234
Drying And Tingling Lips,0.002740714926746795
Slurred Speech,0.006358702533169095
Knee Pain,0.005200608717291742
Hip Joint Pain,0.009028655350940927
Muscle Weakness,0.009308019170525744
Stiff Neck,0.007615455966415396
Swelling Joints,0.004555835934587084
Movement Stiffness,0.007354687287511167
Spinning Movements,0.0050075737489103725
Loss Of Balance,0.010723815243248953
Unsteadiness,0.01203206218937493
Weakness Of One Body Side,0.006650246135446271
Loss Of Smell,0.004376980543878507
Bladder Discomfort,0.00983105336069508
Foul Smell Of Urine,0.002407661323802032
Continuous Feel Of Urine,0.009960224392505936
Passage Of Gases,0.010876507934051887
Internal Itching,0.007698634181847318
Toxic Look (Typhos),0.007753443642531563
Depression,0.006728375736324913
Irritability,0.006447822019154465
Muscle Pain,0.018067379146562434
Altered Sensorium,0.014795268898782308
Red Spots Over Body,0.007633408951150111
Belly Pain,0.007181894642717152
Abnormal Menstruation,0.010455046619604377
Dischromic Patches,0.010766225365313034
Watering From Eyes,0.006262258872166376
Increased Appetite,0.008661686473816856
Polyuria,0.005951397790314577
Family History,0.01233634600789771
Mucoid Sputum,0.011986728586200422
Rusty Sputum,0.013057494704745305
Lack Of Concentration,0.008496717869360324
Visual Disturbances,0.005862194064110913
Receiving Blood Transfusion,0.007449122347030499
Receiving Unsterile Injections,0.008715046246279863
Coma,0.00926282178099348
Stomach Bleeding,0.01039571879119059
Distention Of Abdomen,0.006740182544708818
History Of Alcohol Consumption,0.005954853267467284
Fluid Overload.1,0.005938924766476185
Blood In Sputum,0.006583108375606087
Prominent Veins On Calf,0.0070579194232839315
Palpitations,0.0074901056418684095
Painful Walking,0.006469537139571305
Pus Filled Pimples,0.006829472058351117
Blackheads,0.006711078023268829
Scurring,0.007778609087752863
Skin Peeling,0.004935522631640035
Silver Like Dusting,0.004293071752112442
Small Dents In Nails,0.007371122156489467
Inflammatory Nails,0.006195555053304933
Blister,0.006319288185421699
Red Sore Around Nose,0.006258563033155913
Yellow Crust Ooze,0.010849730936657897
